Скважина;Дата;Время работы в добыче, ч;Время простоя в добыче, ч;Время работы под закачкой, ч;Время простоя под закачкой, ч;Добыча нефти за месяц, т;Добыча жидкости за месяц, т;Закачка за месяц, м3;Добыча попутного газа за месяц, тыс. м3
1000;01.07.2002;648;0;0;0;3467;3872;0;450.742
1000;01.08.2002;696;48;0;0;3146;3266;0;408.718
1000;01.09.2002;600;120;0;0;3030;3145;0;393.561
1000;01.10.2002;744;0;0;0;4337;4809;0;563.834
1000;01.11.2002;720;0;0;0;4118;4423;0;535.675
1000;01.12.2002;744;0;0;0;3812;4143;0;497.035
1000;01.01.2003;744;0;0;0;3803;4184;0;461.221
1000;01.02.2003;672;0;0;0;3495;3751;0;457.374
1000;01.03.2003;672;72;0;0;3326;3537;0;435.597
1000;01.04.2003;696;24;0;0;2806;3037;0;362.238
1000;01.05.2003;744;0;0;0;2896;3300;0;372.898
1000;01.06.2003;720;0;0;0;2708;3047;0;350.901
1000;01.07.2003;744;0;0;0;2885;3134;0;377.739
1000;01.08.2003;744;0;0;0;2830;3131;0;368.999
1000;01.09.2003;720;0;0;0;2673;3025;0;349.307
1000;01.10.2003;504;240;0;0;1867;2089;0;244.31
1000;01.11.2003;720;0;0;0;3542;4017;0;464.49
1000;01.12.2003;744;0;0;0;3192;3695;0;420.139
1000;01.01.2004;744;0;0;0;3093;3584;0;367.569
1000;01.02.2004;480;216;0;0;2103;2354;0;248.271
1000;01.03.2004;744;0;0;0;3505;3915;0;411.196
1000;01.04.2004;720;0;0;0;3356;3773;0;393.129
1000;01.05.2004;744;0;0;0;3510;3850;0;408.75
1000;01.06.2004;720;0;0;0;3250;3599;0;380.399
1000;01.07.2004;744;0;0;0;3367;3726;0;395.74
1000;01.08.2004;744;0;0;0;3384;3713;0;396.084
1000;01.09.2004;720;0;0;0;3274;3535;0;380.523
1000;01.10.2004;744;0;0;0;3471;3754;0;400.306
1000;01.11.2004;720;0;0;0;3432;3884;0;392.357
1000;01.12.2004;744;0;0;0;3749;4111;0;437.281
1000;01.01.2005;744;0;0;0;3528;4012;0;406.948
1000;01.02.2005;672;0;0;0;3289;3702;0;377.977
1000;01.03.2005;744;0;0;0;3667;4161;0;420.301
1000;01.04.2005;720;0;0;0;3594;4107;0;410.592
1000;01.05.2005;744;0;0;0;3640;4137;0;415.615
1000;01.06.2005;720;0;0;0;3484;4057;0;397.977
1000;01.07.2005;742;2;0;0;3520;4088;0;397.441
1000;01.08.2005;742;2;0;0;3232;3750;0;364.18
1000;01.09.2005;720;0;0;0;3334;3887;0;374.078
1000;01.10.2005;743;1;0;0;3531;3946;0;398.175
1000;01.11.2005;720;0;0;0;3323;3820;0;372.751
1000;01.12.2005;744;0;0;0;3416;3921;0;384.332
1000;01.01.2006;738;6;0;0;3266;3932;0;364.411
1000;01.02.2006;672;0;0;0;2940;3545;0;328.1
1000;01.03.2006;744;0;0;0;3016;3750;0;336.201
1000;01.04.2006;720;0;0;0;2621;3524;0;292.237
1000;01.05.2006;744;0;0;0;2513;3602;0;280.068
1000;01.06.2006;712;8;0;0;2057;3301;0;228.64
1000;01.07.2006;742;2;0;0;1880;3449;0;208.493
1000;01.08.2006;744;0;0;0;1416;3261;0;157.945
1000;01.09.2006;720;0;0;0;1332;3097;0;148.117
1000;01.10.2006;744;0;0;0;1106;3146;0;124.25
1000;01.11.2006;720;0;0;0;883;2635;0;99.265
1000;01.12.2006;744;0;0;0;754;2315;0;84.733
1000;01.01.2007;743;1;0;0;978;2264;0;109.639
1000;01.02.2007;670;2;0;0;728;2044;0;81.492
1000;01.03.2007;744;0;0;0;605;2150;0;68.712
1000;01.04.2007;718;2;0;0;555;1983;0;64.624
1000;01.05.2007;744;0;0;0;562;2113;0;65.481
1000;01.06.2007;714;6;0;0;457;1908;0;52.668
1000;01.07.2007;624;120;0;0;381;1537;0;43.328
1000;01.08.2007;0;240;504;0;0;0;15927;0
1000;01.09.2007;0;0;720;0;0;0;22023;0
1000;01.10.2007;0;0;744;0;0;0;16877;0
1000;01.11.2007;0;0;720;0;0;0;17240;0
1000;01.12.2007;0;0;720;24;0;0;14126;0
1000;01.01.2008;0;0;744;0;0;0;10806;0
1000;01.02.2008;0;0;696;0;0;0;9356;0
1000;01.03.2008;0;0;744;0;0;0;8945;0
1000;01.04.2008;0;0;720;0;0;0;8723;0
1000;01.05.2008;0;0;744;0;0;0;7862;0
1000;01.06.2008;0;0;720;0;0;0;7976;0
1000;01.07.2008;0;0;744;0;0;0;7568;0
1000;01.08.2008;0;0;744;0;0;0;7545;0
1000;01.09.2008;0;0;720;0;0;0;7134;0
1000;01.10.2008;0;0;744;0;0;0;6970;0
1000;01.11.2008;0;0;720;0;0;0;6615;0
1000;01.12.2008;0;0;744;0;0;0;7157;0
1000;01.01.2009;0;0;744;0;0;0;6894;0
1000;01.02.2009;0;0;672;0;0;0;5721;0
1000;01.03.2009;0;0;744;0;0;0;7312;0
1000;01.04.2009;0;0;720;0;0;0;6120;0
1000;01.05.2009;0;0;744;0;0;0;7452;0
1000;01.06.2009;0;0;720;0;0;0;7235;0
1000;01.07.2009;0;0;744;0;0;0;5951;0
1000;01.08.2009;0;0;744;0;0;0;6678;0
1000;01.09.2009;0;0;720;0;0;0;8623;0
1000;01.10.2009;0;0;744;0;0;0;8345;0
1000;01.11.2009;0;0;720;0;0;0;6620;0
