Скважина;Дата;Дебит жидкости, м3/сут;Дебит нефти, т/сут;Приёмистость, м3/сут;Забойное давление (ТР), атм
1000;23.06.2013;0;0;184;451.251307683102
1000;23.07.2013;0;0;148;454.595719122322
1000;23.08.2013;0;0;236;455.76396926512706
1000;21.09.2013;0;0;164;453.453553827414
1000;23.10.2013;0;0;147;449.544734274165
1000;23.11.2013;0;0;145;447.536849714498
1000;23.12.2013;0;0;152;449.56977121688
1000;23.01.2014;0;0;143;444.583793367308
1000;23.02.2014;0;0;149;450.60730256195
1000;23.03.2014;0;0;141;448.645336139969
1000;23.04.2014;0;0;159;451.538225669994
1000;23.05.2014;0;0;149;450.60730256195
1000;23.06.2014;0;0;176;447.343951969274
1000;23.07.2014;0;0;151;448.56809279106005
1000;23.08.2014;0;0;187;448.253370536865
1000;23.09.2014;0;0;180;448.31902940826507
1000;23.10.2014;0;0;134;450.720174159937
1000;23.11.2014;0;0;113;450.861173381486
1000;23.12.2014;0;0;120;455.8755677521731
1000;23.01.2015;0;0;121;454.85708882633
1000;23.02.2015;0;0;125;456.854126785675
1000;23.03.2015;0;0;134;455.779293781862
1000;23.04.2015;0;0;146;454.67787697814106
1000;23.05.2015;0;0;165;453.511170867494
1000;23.06.2015;0;0;176;455.4378972972781
1000;23.07.2015;0;0;177;453.405144973782
1000;23.08.2015;0;0;215;456.0633078133041
1000;21.09.2015;0;0;200;459.255570442125
1000;21.10.2015;0;0;223;462.047590321805
1000;21.11.2015;0;0;198;461.2997168763361
1000;23.12.2015;0;0;187;459.383307837439
1000;23.01.2016;0;0;187;460.395309200445
1000;21.02.2016;0;0;164;460.603203075384
1000;21.03.2016;0;0;172;460.533529249615
1000;21.04.2016;0;0;190;463.402668555083
1000;21.05.2016;0;0;190;463.402668555083
1000;23.06.2016;0;0;170;461.563259333105
1000;21.07.2016;0;0;175;458.48268348507105
1000;23.08.2016;0;0;163.38;456.5605893391881
1000;23.09.2016;0;0;157.98;460.65376927942503
1000;21.10.2016;0;0;146.97;460.74209209812005
1000;23.11.2016;0;0;92.77;463.121484859631
1000;23.12.2016;0;0;93.21;464.131311702672
1000;21.01.2017;0;0;92.7;461.097614958073
1000;21.02.2017;0;0;176;459.48562504278107
1000;21.03.2017;0;0;250.22;465.777613766524
1000;23.04.2017;0;0;300;465.113244451204
1000;21.05.2017;0;0;345;464.422099324845
1000;21.06.2017;0;0;190;466.439138046202
1000;21.07.2017;0;0;148.38;450.612167008451
1000;21.08.2017;0;0;148.38;450.612167008451
1000;21.09.2017;0;0;180;466.533745829179
1000;21.10.2017;0;0;169.28;460.557534822396
1000;21.11.2017;0;0;170.06;462.5748100690761
1000;21.12.2017;0;0;171.58;470.659136547954
1000;21.01.2018;0;0;170;465.61176366606907
1000;21.02.2018;0;0;158.6;464.697051063584
1000;21.03.2018;0;0;140;458.77116590710307
1000;21.04.2018;0;0;123;468.000882779369
1000;21.05.2018;0;0;120.56;479.154221929506
1000;21.06.2018;0;0;120;478.145288116086
1000;21.07.2018;0;0;165;480.84167786495607
1000;21.08.2018;0;0;125.31;471.022278755834
1000;21.09.2018;0;0;108.69;470.11682415092906
1000;21.10.2018;0;0;120;425.532303341676
1000;21.11.2018;0;0;157.54;450.538560250168
1000;21.12.2018;0;0;149.35;454.651734214576
1000;21.01.2019;0;0;152.96;456.646778924381
1000;21.02.2019;0;0;154.67000000000002;459.66886023288
1000;21.03.2019;0;0;163.55;460.60703835742703
1000;21.04.2019;0;0;156.53;460.66570907672207
1000;21.05.2019;0;0;270;459.454066036128
1000;21.06.2019;0;0;205.99;464.2544766109421
1000;21.07.2019;0;0;170;457.51525953085707
1000;23.08.2019;0;0;196.26;467.38990427679306
1000;21.09.2019;0;0;180;470.58284817078703
1000;21.10.2019;0;0;180;470.58284817078703
1000;21.11.2019;0;0;180;458.608232641517
1000;21.08.2020;0;0;199.93;456.22049652157307
1000;21.09.2020;0;0;200;458.243611854023
1000;21.10.2020;0;0;259;457.5719966918821
1000;21.11.2020;0;0;201.72;462.274178798085
1000;21.12.2020;0;0;200.85;462.283024626721
1000;21.01.2021;0;0;208.31;469.29131086846206
1000;21.02.2021;0;0;155.01;474.849830825958
1000;21.03.2021;0;0;152.31;474.871663100114
1000;21.04.2021;0;0;132.75;464.89665714358705
1000;21.05.2021;0;0;130;464.91613035983306
1000;21.06.2021;0;0;100;465.106233089568
1000;21.07.2021;0;0;168;464.6171035767091
1000;21.08.2021;0;0;148.81;464.776153580029
1000;21.09.2021;0;0;124.4;464.954729302315
1000;21.10.2021;0;0;142.06;464.8282076588621
1000;21.11.2021;0;0;87;465.175717223376
1000;21.12.2021;0;0;93.1;465.14409721102703
1000;21.01.2022;0;0;94.8;465.13497437721304
1000;21.02.2022;0;0;101.73;465.09639264522406
1000;21.03.2022;0;0;95.85;465.129272282467
1000;21.04.2022;0;0;392.18;461.581792806887
1000;21.05.2022;0;0;355.39;462.22633380344706
1000;21.06.2022;0;0;334.95;462.5598072022861
1000;21.07.2022;0;0;123.01;464.964090216839
1000;21.08.2022;0;0;122.84;464.9652290634091
1000;21.10.2022;0;0;100;444.868322071078
1000;21.11.2022;0;0;86.04;430.783252648082
1000;21.12.2022;0;0;83.61;430.7951996837531
1000;21.01.2023;0;0;81.06;430.80743655027305
1000;21.02.2023;0;0;83.33;430.79655838234
1000;21.03.2023;0;0;184.4;419.96431610222106
1000;21.04.2023;0;0;178.5;404.860922624884
1000;21.05.2023;0;0;216.45;404.483269388949
1000;21.06.2023;0;0;272.34000000000003;452.3404355320051
1000;21.07.2023;0;0;222;452.951509139786
1000;21.08.2023;0;0;223.48;452.935097471048
1000;21.09.2023;0;0;223.38;452.93620934591206
1000;21.10.2023;0;0;149.75;453.6367361067621
1000;21.11.2023;0;0;150.1;453.63396997901
1000;21.12.2023;0;0;150.1;453.63396997901
1000;21.01.2024;0;0;150.1;448.522304881204
1000;21.02.2024;0;0;150.1;448.522304881204
1000;21.03.2024;0;0;150.1;448.522304881204
1000;21.04.2024;0;0;150.1;448.522304881204
1000;21.05.2024;0;0;150.1;448.522304881204
1000;21.06.2024;0;0;150.1;448.522304881204
1000;21.07.2024;0;0;150.1;448.522304881204
1000;21.08.2024;0;0;150.1;448.522304881204
1000;21.09.2024;0;0;150.1;448.522304881204
1000;21.10.2024;0;0;150.1;448.522304881204
1000;21.11.2024;0;0;150.1;448.522304881204
1000;21.12.2024;0;0;150.1;448.522304881204
1000;21.01.2025;0;0;150.1;448.522304881204
1000;21.02.2025;0;0;150.1;448.522304881204
1000;21.03.2025;0;0;150.1;448.522304881204
1000;21.04.2025;0;0;150.1;448.522304881204
1000;21.05.2025;0;0;150.1;448.522304881204
1000;21.06.2025;0;0;150.1;448.522304881204
1000;21.07.2025;0;0;150.1;448.52230488120404
1000;21.08.2025;0;0;150.1;448.52230488120404
1000;21.09.2025;0;0;150.1;448.52230488120404
1000;21.10.2025;0;0;150.1;448.52230488120404
1000;21.11.2025;0;0;150.1;448.52230488120404
1000;21.12.2025;0;0;150.1;448.52230488120404
1002;23.06.2013;0;0;95.25;453.67353091253506
1002;23.07.2013;0;0;95.25;453.67353091253506
1002;23.10.2013;0;0;40;451.245257258772
1002;23.11.2013;0;0;29;449.29250908204904
1002;23.12.2013;0;0;31.5;451.372310473795
1002;23.01.2014;0;0;18;446.409180563684
1002;23.02.2014;0;0;25;452.448582913015
1002;23.03.2014;0;0;24;450.429856055177
1002;23.04.2014;0;0;31;453.427546189828
1002;23.05.2014;0;0;32;452.409660074972
1002;23.06.2014;0;0;37;449.341902826811
1002;23.07.2014;0;0;38;450.346807953227
1002;23.08.2014;0;0;40;450.3325744946261
1002;23.09.2014;0;0;43;450.310159625152
1002;23.10.2014;0;0;11;452.503450472345
1002;23.11.2014;0;0;11;452.503450472345
1002;23.12.2014;0;0;35;457.450444071286
1002;23.01.2015;0;0;38;456.41817975714906
1002;23.02.2015;0;0;45;458.38988977321304
1002;23.03.2015;0;0;33;457.4632234285531
1002;23.04.2015;0;0;30;456.469271210974
1002;23.05.2015;0;0;33;455.439233392518
1002;23.06.2015;0;0;29;457.487010357539
1002;23.07.2015;0;0;32;455.445410787351
1002;23.08.2015;0;0;30;458.493330024078
1002;21.09.2015;0;0;33.75;463.531236940659
1002;21.10.2015;0;0;23.6;464.60027326402
1002;21.11.2015;0;0;52;463.391308723625
1002;23.12.2015;0;0;50;461.384587331801
1002;23.01.2016;0;0;61;462.29308261775503
1002;21.02.2016;0;0;71;462.18462070777105
1002;21.03.2016;0;0;83;462.036927622393
1002;21.04.2016;0;0;80;464.099945803356
1002;21.05.2016;0;0;76;465.16193138301503
1002;23.06.2016;0;0;105;463.741673240255
1002;21.07.2016;0;0;75;460.113294389428
1002;23.08.2016;0;0;69.72;461.18712450764906
1002;23.09.2016;0;0;78;463.11291775149806
1002;21.10.2016;0;0;85.22;462.0075319413871
1002;23.11.2016;0;0;74;464.17381444550904
1002;23.12.2016;0;0;72.8;465.200234578844
1002;21.01.2017;0;0;71.86;462.174668879385
1002;21.02.2017;0;0;61.370000000000005;453.181214036984
1002;21.03.2017;0;0;74.78;468.213526867943
1002;23.04.2017;0;0;110;467.709201745454
1002;21.05.2017;0;0;62;468.3563249618671
1002;21.06.2017;0;0;62;468.356324961867
1002;21.07.2017;0;0;83;451.9172788942321
1002;21.08.2017;0;0;45;467.499586473782
1002;21.09.2017;0;0;45;463.4505154791401
1002;21.10.2017;0;0;35.54;462.50741734451503
1002;21.11.2017;0;0;36.51;464.52533404089905
1002;21.12.2017;0;0;41.67;472.587422611716
1002;21.01.2018;0;0;40;467.53771849349704
1002;21.02.2018;0;0;25;466.61795729359903
1002;21.03.2018;0;0;30;455.457289255605
1002;21.04.2018;0;0;40;469.562455111127
1002;21.05.2018;0;0;48;480.637982178136
1002;21.06.2018;0;0;50;460.372467887661
1002;23.07.2018;0;0;50;460.372467887661
1002;21.08.2018;0;0;83.4;472.15448875618006
1002;21.09.2018;0;0;59;442.076361766567
1002;21.10.2018;0;0;43.89;427.040337312228
1002;21.11.2018;0;0;69.82000000000001;452.07827989656306
1002;21.12.2018;0;0;70.86;456.113959157208
1002;21.01.2019;0;0;72.24;457.10994375521904
1002;21.02.2019;0;0;71.79;459.139207860064
1002;21.03.2019;0;0;75.8;460.10361841875704
1002;21.04.2019;0;0;70.85000000000001;462.186346423789
1002;21.05.2019;0;0;90;460.9299626919691
1002;21.06.2019;0;0;95;460.85831425513106
1002;21.07.2019;0;0;94.24;458.8453274980161
1002;23.08.2019;0;0;90;458.90586413048
1002;21.09.2019;0;0;118.36;468.578378504265
1002;21.10.2019;0;0;96.46;467.92205693737407
1002;21.11.2019;0;0;95.24;456.97883838352504
1002;21.12.2019;0;0;104.5;461.89575278667104
1002;21.01.2020;0;0;102.22;460.919883533456
1002;21.02.2020;0;0;97.21;444.63654596782
1002;21.03.2020;0;0;103.4;473.89015163404
1002;21.04.2020;0;0;116.6;444.3233557590221
1002;21.05.2020;0;0;101.27;444.574943033508
1002;21.06.2020;0;0;108.14;448.51233728639704
1002;21.07.2020;0;0;121;445.2571773942621
1002;21.08.2020;0;0;117;444.316391479463
1002;21.09.2020;0;0;130.79;449.12189112486305
1002;21.10.2020;0;0;103.97;449.59096871475606
1002;21.11.2020;0;0;99.48;438.5335648945321
1002;21.12.2020;0;0;97.11;438.5692154311941
1002;21.01.2021;0;0;108.94;470.763672336951
1002;21.02.2021;0;0;111.56;475.782337455353
1002;21.03.2021;0;0;105;472.85232952658504
1002;21.07.2021;0;0;178;471.35226974528706
1002;21.08.2021;0;0;29;473.68355159178304
1002;21.09.2021;0;0;21.51;473.72162249261703
1002;21.10.2021;0;0;26.71;473.696110424435
1002;21.11.2021;0;0;120.3;472.59329888511303
1002;21.12.2021;0;0;120;472.598663375178
1002;21.03.2023;0;0;43.74;432.09724799202905
1002;21.04.2023;0;0;92.17;431.56228753689703
1002;21.05.2023;0;0;93;431.55042157488305
1003;21.06.2013;133;16.40821;0;54.5836389469823
1003;21.07.2013;128;12.87104;0;49.37822737371705
1003;21.08.2013;120;15.3114;0;43.00770825881423
1003;21.09.2013;118;15.35534;0;76.93063297071575
1003;21.10.2013;119;13.27326;0;69.0630840930946
1003;21.11.2013;114;13.67886;0;39.57248881952506
1003;21.12.2013;115;16.95054;0;36.958899231862745
1003;21.01.2014;110;17.806800000000003;0;47.87822901848351
1003;21.02.2014;111;15.415236;0;51.74433586794795
1003;21.03.2014;112;16.794624;0;53.305071614430815
1003;21.04.2014;112;18.321408;0;52.95131443692774
1003;21.05.2014;110;16.11984;0;47.0293944614549
1003;21.06.2014;113;13.47864;0;40.42882438215146
1003;21.07.2014;110;14.43288;0;45.8
1003;21.08.2014;110;12.83964;0;0
1003;21.09.2014;106;11.74056;0;41
1003;21.10.2014;105;8.498700000000001;0;42.1
1003;21.11.2014;104;8.41776;0;42.72838091489507
1003;21.12.2014;100;8.7756;0;42.09581955469159
1003;21.01.2015;97;9.421416;0;41.0500912708826
1003;21.02.2015;98;9.435048;0;42.05170585654819
1003;21.03.2015;104;6.379776;0;40.23626644607739
1003;21.04.2015;100;7.412400000000001;0;41.36941675131709
1003;21.05.2015;100;8.1792;0;43.12520015572255
1003;21.06.2015;101;5.335224;0;44.27662934909586
1003;21.07.2015;96;8.669952;0;39.09091092287789
1003;21.08.2015;100;7.668;0;44.15026274005708
1003;21.09.2015;97;8.925552;0;46.064983361241
1003;21.10.2015;98;9.18456;0;45.65635174721734
1003;21.11.2015;101;9.637824;0;47.04203375662318
1003;21.12.2015;101;8.519148;0;48.99743616029299
1003;21.01.2016;107;8.387088;0;50.1238751530747
1003;21.02.2016;118;9.9592;0;46.06997959209762
1003;21.03.2016;110;10.86228;0;42.90293354838395
1003;21.04.2016;112;9.169216;0;42.0987596940348
1003;21.05.2016;105;10.6344;0;40.99713535027621
1003;21.06.2016;100;10.128;0;38.00769742772006
1003;21.07.2016;98;8.188488;0;38.10681082775019
1003;21.08.2016;100;11.7316;0;36.921309230534824
1003;21.09.2016;95;11.2252;0;41.51217283407963
1003;21.10.2016;92;3.8824;0;32.343816179445106
1003;21.11.2016;91;1.075256;0;32.506618705123046
1003;21.12.2016;93;7.4724384;0;31.13900934632292
1003;21.01.2017;92;7.997744;0;31.1037729842852
1003;21.02.2017;84;1.347024;0;32.78588495026042
1003;21.03.2017;89;1.953016;0;32.75232601017004
1003;21.04.2017;94;1.5073839999999998;0;34.48157653960211
1003;21.05.2017;92;5.43536;0;33.25187871919099
1003;21.06.2017;92;6.833024;0;48.139439556747206
1003;21.07.2017;89;8.112528;0;39.065936141093374
1003;21.08.2017;86;9.363336;0;37.97098079950479
1003;21.09.2017;83;9.2678796;0;36.95888922468821
1003;21.10.2017;90;12.60936;0;37.79688889091573
1003;21.11.2017;83;10.437748;0;40.868601544146266
1003;21.12.2017;88;10.3089536;0;42.909465019515174
1003;21.01.2018;91;11.13658;0;46.90510291862998
1003;21.02.2018;93;12.009276;0;70.2627819012416
1003;21.03.2018;92;3.804752;0;62.86336793085508
1003;21.04.2018;94;7.854264;0;60.59348445905618
1003;21.05.2018;98;7.898996;0;59.61263492040017
1003;21.06.2018;95;7.37656;0;48.62993966470804
1003;21.07.2018;97;7.040648;0;50.68468174351891
1003;21.08.2018;96;9.31776;0;49.54201047529613
1003;21.09.2018;89;6.94823;0;48.17539429979264
1003;21.10.2018;87;5.286816;0;48.65580308354557
1003;21.11.2018;87;6.094524;0;47.638020665117615
1003;21.12.2018;92;6.910672;0;41.02289017689602
1003;21.01.2019;95;7.136019999999999;0;40.14319556640881
1003;21.02.2019;98;5.624416;0;40.522325132305745
1003;21.03.2019;99;6.2667;0;51.035167080434086
1003;21.04.2019;107;3.61232;0;60.55281577105177
1003;21.05.2019;108;4.192991999999999;0;60.398911596005405
1003;21.06.2019;108.32;4.02257152;0;59.94792329323908
1003;21.07.2019;108;4.192991999999999;0;60.398911596005405
1003;21.08.2019;108;3.0991679999999997;0;60.71377794363812
1003;21.09.2019;107.89;3.91554388;0;60.46448179296542
1003;21.10.2019;107.51;3.1758454;0;60.70062826468126
1003;21.11.2019;109.46;3.14106416;0;60.7065921957993
1003;21.12.2019;107.5;3.0848199999999997;0;60.71623927420829
1003;21.01.2020;107.3;4.1658152;0;60.40354068778562
1003;21.02.2020;107.29;3.71266316;0;60.53566621410405
1003;21.03.2020;106.06;4.475732;0;60.314253205963
1003;21.04.2020;115.1;4.7600756;0;61.132828934578896
1003;21.05.2020;108.52;4.48795312;0;61.21057983631569
1003;21.06.2020;125;4.642;0;112.031362843363
1003;21.07.2020;132.13;2.799094772;0;55.17554857146125
1003;21.08.2020;128.22;3.84172764;0;34.01897832810344
1003;21.09.2020;108.26;1.64468592;0;37.59095374223341
1003;21.10.2020;101.86;2.209424888;0;40.717857467750775
1003;21.11.2020;106.23;2.071102572;0;46.059793461235046
1003;21.12.2020;132;2.896608;0;40.50193554627839
1003;21.01.2021;143.91;3.15796104;0;42.07740054319768
1003;21.02.2021;156;2.63328;0;44.95949329031298
1003;21.03.2021;157.36;1.9921776;0;44.25695242457051
1003;21.04.2021;156.79;2.51428444;0;40.699256424726215
1003;21.05.2021;154.02;2.5998576;0;40.934969293519835
1003;21.06.2021;148.43;4.00879744;0;44.6352339740589
1003;21.07.2021;151.8;2.562384;0;46.03208428330406
1003;21.08.2021;130;1.514136;0;47.281831205985895
1003;21.09.2021;150.6;2.7963408000000003;0;50.575183127782616
1003;21.10.2021;143.88;2.06439024;0;51.29422188521137
1003;21.11.2021;145.05;2.95037502;0;52.80674399295989
1003;21.12.2021;144.25;1.947952;0;54.220814792776075
1003;21.01.2022;141;2.38008;0;55.60063382392384
1003;21.02.2022;138.15;2.7983664;0;56.92048582730022
1003;21.03.2022;140.15;3.1937382;0;59.554895837481894
1003;21.04.2022;147.6;2.1177648;0;66.90856689293716
1003;21.05.2022;149.62;1.32593244;0;79.49611198423356
1003;21.06.2022;151.92000000000002;2.05152768;0;86.67555819520632
1003;21.07.2022;151.92000000000002;2.05152768;0;86.67555815922111
1003;21.08.2022;139.37;1.811475512;0;219.113218477677
