Скважина;Ствол;Дата начала;Дата конца;Координата Т1 Х, м;Координата Т1 У, м;Координата Т3 Х, м;Координата Т3 У, м
1000;1000_0;05.07.2002;11.04.2262;449769.66;7073512.35;;
1001;1001_0;22.06.2002;11.04.2262;450570.16;7073241.02;;
1002;1002_0;16.07.2002;11.04.2262;448810.71;7072295.5;;
1003;1003_0;11.02.2002;11.04.2262;449596.63;7072947.98;449111.55;7073101.45
1004;1004_0;10.03.2008;11.04.2262;449256.42;7072712.42;;
1005;1005_0;31.03.2008;11.04.2262;450715.79;7071747.23;;
1006;1006_0;01.08.2002;11.04.2262;451616.85;7073205.16;;
1007;1007_0;08.08.2002;11.04.2262;449931.97;7072459.63;;
1008;1008_0;30.09.2002;11.04.2262;451108.78;7072446.32;;
1009;1009_0;22.04.2008;11.04.2262;450771.78;7072838.46;;
1010;1010_0;31.10.2002;11.04.2262;450216.86;7071694.23;449798.96;7071321.14
1011;1011_0;01.12.2002;11.04.2262;450986.79;7071488.83;;
1012;1012_0;13.10.2007;11.04.2262;449575.44;7072354.44;449474.85;7071884.69
1013;1013_0;08.12.2007;11.04.2262;450504.11;7072400.7;;
1014;1014_0;19.06.2007;11.04.2262;450284.25;7072919.86;;
1016;1016_0;22.05.2007;11.04.2262;450342;7073464.74;;
1017;1017_0;07.11.2007;11.04.2262;450798.2;7073627.65;;
1018;1018_0;29.10.2001;11.04.2262;448419.47;7074258.94;;
1019;1019_0;13.08.2001;11.04.2262;449084.73;7074160.72;;
1020;1020_0;29.07.2001;11.04.2262;449950.7;7074422.28;;
1021;1021_0;30.05.2001;11.04.2262;449917.55;7074170.86;;
1022;1022_0;07.05.2001;11.04.2262;450544.03;7074167.88;;
1023;1023_0;28.06.2001;11.04.2262;450986.37;7074237.19;;
1024;1024_0;30.07.2001;11.04.2262;451561.36;7074138.66;;
1025;1025_0;25.08.2001;11.04.2262;452066.39;7074159.47;;
1029;1029_0;15.06.2023;11.04.2262;452253.48;7077817.95;453195.07;7077503.87
1030;1030_0;06.07.2023;11.04.2262;452205.48;7077461.32;453189.19;7077140.45
1031;1031_0;04.10.2007;23.11.2019;449375.59;7074670.93;;
1031;1031_1;23.11.2019;11.04.2262;449481.8;7074301.36;;
1033;1033_0;16.10.2000;11.04.2262;451322.53;7074635.26;;
1034;1034_0;17.04.2007;28.04.2025;452034.08;7075759.89;;
1035;1035_0;02.08.2023;11.04.2262;452327.98;7076945.41;453311.2;7076663.21
1036;1036_0;26.08.2023;11.04.2262;452396.58;7078107.48;453354.28;7078082.81
1038;1038_0;12.12.2000;11.04.2262;449399.79;7075166.71;449992.19;7075388.94
1039;1039_0;25.12.2006;11.04.2262;450197.9;7075272.81;;
1040;1040_0;13.02.2001;11.04.2262;451170.11;7075129.16;450564.05;7075123.57
1042;1042_0;31.10.2001;11.04.2262;451846.01;7075362.64;;
1047;1047_0;06.08.2000;11.04.2262;449297.06;7075585.12;;
1048;1048_0;13.10.2007;16.12.2024;448918.9;7075598.45;;
1048;1048_1;16.12.2024;11.04.2262;447845.94;7075693.09;447247.83;7075566.74
1049;1049_0;29.07.2000;11.04.2262;450267.46;7075611.33;;
1050;1050_0;23.01.2007;11.04.2262;450762.62;7075528.24;;
1051;1051_0;26.09.2000;11.04.2262;451236.36;7075658.95;;
1054;1054_0;06.12.2001;11.04.2262;448502.15;7076129.76;;
1055;1055_0;06.09.2001;11.04.2262;449101.14;7076189.74;;
1056;1056_0;21.06.2001;11.04.2262;449479.94;7076169.16;;
1057;1057_0;30.04.2001;11.04.2262;449987.08;7076126.28;;
1058;1058_0;26.03.2001;11.04.2262;450615.26;7076140.13;;
1059;1059_0;30.05.2001;11.04.2262;451002.99;7076095.37;;
1060;1060_0;14.07.2001;11.04.2262;451517.78;7076153.9;;
1061;1061_0;12.08.2001;20.11.2017;452006.26;7076115.85;;
1061;1061_1;20.11.2017;11.04.2262;452116.42;7076460.93;452232.19;7076843.24
1064;1064_0;22.09.2013;11.04.2262;448847.03;7077353.76;448232.83;7077411.06
1064;1064_1;22.09.2013;11.04.2262;448848.64;7077350.77;448104.81;7076974.3
1065;1065_0;24.10.2013;11.04.2262;450985.98;7078723.36;;
1066;1066_0;30.11.2013;11.04.2262;448854.74;7078122.81;448203.76;7078026.01
1067;1067_0;10.07.2002;11.04.2262;451537.97;7077541.88;;
1068;1068_0;30.09.2002;11.04.2262;449402.83;7077938.8;;
1069;1069_0;30.10.2002;11.04.2262;449866.2;7078749.06;;
1070;1070_0;02.09.2002;11.04.2262;450378.37;7077876.71;450846.28;7078419.52
1071;1071_0;30.11.2002;11.04.2262;450346.83;7077570.21;;
1072;1072_0;02.01.2008;18.03.2022;451237.14;7078061.46;451347.6;7078511.7
1072;1072_1;18.03.2022;11.04.2262;451930.9;7077447.01;452149.95;7077268.97
1073;1073_0;24.04.2008;04.03.2025;451489.36;7079028.4;;
1074;1074_0;20.03.2008;11.04.2262;450459.8;7078884.72;450841.45;7079251.8
1075;1075_0;01.10.2008;11.04.2262;449122.21;7078374.01;;
1078;1078_0;21.05.2008;11.04.2262;450299.03;7079407.11;;
1079;1079_0;16.06.2008;11.04.2262;449731.6;7079298.55;;
1080;1080_0;06.09.2004;11.04.2262;451095.26;7076703.23;451584.3;7076897.51
1081;1081_0;31.10.2004;11.04.2262;448845.36;7075202.46;448400.04;7074979.44
1082;1082_0;06.09.2008;11.04.2262;451909.29;7078583.45;;
1083;1083_0;08.12.2004;11.04.2262;449305.43;7073579.83;;
1084;1084_0;14.07.2008;11.04.2262;451958.13;7078033.85;;
1085;1085_0;12.08.2008;11.04.2262;449298.71;7078974.16;;
1086;1086_0;24.04.2002;11.04.2262;449579.96;7077141.71;449008.76;7077059.94
1087;1087_0;24.06.2002;11.04.2262;450282.67;7077120.13;450802.43;7077004.87
1088;1088_0;07.12.2009;11.04.2262;451980.08;7079369.51;;
1089;1089_0;14.09.2009;11.04.2262;451421.97;7079437.86;;
1090;1090_0;31.12.2009;11.04.2262;452304.36;7079091.71;;
1091;1091_0;04.02.2010;28.02.2024;450896.1;7079561.05;;
1091;1091_1;28.02.2024;11.04.2262;452993.09;7079387.83;453311.71;7078442.04
1092;1092_0;22.03.2010;11.04.2262;450678.66;7079921.69;;
1093;1093_0;14.04.2010;11.04.2262;452408.11;7080088;;
1097;1097_0;08.01.2022;11.04.2262;452536.19;7079272.38;452957.56;7078675.53
1097;1097_1;08.01.2022;11.04.2262;452560.45;7079214.3;452611.09;7078272.79
1099;1099_0;03.04.2022;11.04.2262;451515.08;7080695.3;451273.03;7079935.39
1099;1099_1;03.04.2022;11.04.2262;451515.08;7080695.3;450608.73;7080252.69
1100;1100_0;06.12.2016;11.04.2262;450736.69;7070737.94;;
1101;1101_0;05.12.2016;03.05.2025;450179.72;7070435.68;450169.54;7071259.6
1101;1101_1;03.05.2025;11.04.2262;450444.38;7069350.72;450472.33;7069078.74
1102;1102_0;27.01.2017;11.04.2262;450621.82;7068288.07;450754.02;7067507.44
1103;1103_0;31.05.2017;11.04.2262;451241.11;7068314.49;451346.12;7067492.65
1105;1105_0;01.05.2020;11.04.2262;450557.08;7066968.51;451149.57;7067206.89
1106;1106_0;25.06.2020;11.04.2262;450271.76;7065869.26;449900.48;7065282.11
1107;1107_0;05.11.2018;11.04.2262;448196.04;7063689.56;448478.39;7064441.28
1108;1108_0;08.07.2019;11.04.2262;448127.97;7064472.36;447563.54;7064918.4
1109;1109_0;17.02.2019;11.04.2262;448076.4;7065448.8;447849.46;7066106.99
1116;1116_0;27.01.2023;11.04.2262;452546.66;7074886.98;452939.91;7074146.32
1117;1117_0;27.02.2023;11.04.2262;452717.09;7075383.1;453219.45;7074530.14
1118;1118_0;20.02.2025;11.04.2262;453427.69;7074862.1;454446.71;7074698.54
1119;1119_0;12.04.2025;11.04.2262;453300.34;7075316.84;454025.83;7075248.33
1126;1126_0;05.08.2023;11.04.2262;451383.59;7070734.02;452350.31;7070767.35
1127;1127_0;01.10.2023;11.04.2262;451631.19;7068821.66;452255.43;7067930.86
1128;1128_0;17.10.2023;11.04.2262;451272.13;7070261.18;452245.53;7070228.01
1129;1129_0;19.11.2023;11.04.2262;451601.38;7069770.97;452551.08;7069566.04
1130;1130_0;18.12.2023;11.04.2262;451700.87;7069244.68;452671.3;7068789.85
1131;1131_0;02.03.2024;11.04.2262;449147.46;7070035.89;448557.36;7070673.73
1131;1131_1;02.03.2024;11.04.2262;449147.46;7070035.89;448751.5;7070946.34
1132;1132_0;08.05.2025;11.04.2262;452678.12;7076006.93;453167.65;7076565.47
1133;1133_0;04.06.2025;11.04.2262;453056.42;7073866.88;453492.03;7073163.62
1135;1135_0;14.08.2025;11.04.2262;452748.47;7075645.62;453718.64;7075787.12
1136;1136_0;11.09.2025;11.04.2262;453202.3;7074222.81;453903.15;7073488.62
114R;114R_0;20.12.1999;11.04.2262;448985.19;7068582.99;;
1170;1170_0;17.08.2019;11.04.2262;441532.11;7060876.96;441136.3;7060274.84
1171;1171_0;13.09.2019;11.04.2262;442671.97;7060708.21;442980.26;7061308.97
1172;1172_0;09.10.2019;11.04.2262;441371.74;7059717.94;;
1173;1173_0;02.01.2020;11.04.2262;442409.55;7060319.1;442010.26;7059739.45
1174;1174_0;23.11.2019;11.04.2262;441950.37;7061025.85;442335.52;7061627.79
1175;1175_0;13.11.2019;11.04.2262;441415.09;7061315.73;;
1177;1177_0;02.01.2020;11.04.2262;440902.63;7059887.03;440496.92;7059249.89
1178;1178_0;26.02.2020;11.04.2262;440997.18;7061049.87;440599.23;7060473.61
1179;1179_0;19.03.2020;11.04.2262;441214.32;7059360.01;440804.13;7058746.43
117R;117R_0;01.12.2016;11.04.2262;442096.63;7060778.44;;
