well;ports;azimuth;gs_length;x;y;proppant;plast;date;kust
418;9.0;46.99;981.0;451958.0;7072764.0;186.5;2БС10;1682812800000;4
419;7.0;30.3;990.0;452141.0;7073109.0;167.2;2БС10;1685404800000;4
420;5.0;51.0;970.0;451966.0;7072090.0;186.5;2БС10;1694563200000;4
421;6.0;11.0;845.0;452075.0;7073536.0;129.5;2БС10;1691020800000;4
422;8.0;47.5;996.0;451855.0;7071515.0;170.0;2БС10;1693267200000;4
423;8.0;27.11;1016.0;452552.0;7072600.0;165.0;2БС10;1696377600000;4
424;8.0;30.19;984.0;452518.0;7071922.0;168.1;2БС10;1698537600000;4
501;8.0;42.5;1083.0;449951.0;7064950.0;183.0;2БС10;1724630400000;5
503;8.0;25.7;1004.0;450475.0;7065622.0;248.0;2БС10;1727568000000;5
504;9.0;33.0;962.0;450259.0;7065182.0;280.3;2БС10;1729987200000;5
505;9.0;30.0;958.0;452134.0;7065037.0;293.0;2БС10;1732665600000;5
506;10.0;-32.8;963.0;451175.0;7066810.0;207.0;2БС10;1734998400000;5
601;8.0;32.32;959.0;449586.0;7062852.0;161.0;2БС10;1744761600000;6
602;7.0;50.0;1004.0;448714.0;7062495.0;136.6;2БС10;1748390400000;6
603;8.0;22.73;950.0;449561.0;7063814.0;250.0;2БС10;1750550400000;6
604;8.0;29.22;913.0;449920.0;7064272.0;258.5;2БС10;1755734400000;6
605;8.0;293.0;948.0;449087.0;7063470.0;242.0;2БС10;1750550400000;6
933;4.0;74.83;381.0;446275.0;7060647.0;163.0;2БС10;1515110400000;32
944;4.0;143.63;326.0;447603.0;7061440.0;158.5;2БС10;1492041600000;7
959;3.0;-10.08;340.3;451181.0;7068661.0;77.5;2БС10;1493078400000;3
1029;8.0;27.0;976.0;452253.0;7077818.0;162.5;2БС10;1688515200000;10
1030;8.0;27.09;1020.0;452205.0;7077461.0;164.0;2БС10;1690156800000;10
1034;1.0;4.57;0.0;452336.0;7074883.0;30.0;БС9/1;1745798400000;2
1035;8.0;26.83;1025.0;452328.0;7076945.0;170.5;2БС10;1692576000000;10
1036;6.0;13.0;960.0;452397.0;7078107.0;132.5;2БС10;1694822400000;10
1091;8.0;80.56;999.0;452993.0;7079388.0;151.0;2БС10;1709078400000;15
