Скважина;Дата;Время работы в добыче, ч;Время простоя в добыче, ч;Время работы под закачкой, ч;Время простоя под закачкой, ч;Добыча нефти за месяц, т;Добыча жидкости за месяц, т;Закачка за месяц, м3;Добыча попутного газа за месяц, тыс. м3
1026;01.03.2023;144;0;0;0;545.1850000000001;621.277;0;58.168
1026;01.04.2023;720;0;0;0;2745.346;2808.129;0;286.982
1026;01.05.2023;742;2;0;0;1758.2910000000002;1806.1760000000002;0;199.119
1026;01.06.2023;517;203;0;0;1413.68;1493.213;0;135.404
1026;01.07.2023;726;18;0;0;1257.248;1350.381;0;126.514
1026;01.08.2023;216;528;0;0;563.9680000000001;607.3000000000001;0;34.481
1026;01.09.2023;706;14;0;0;806.784;824.068;0;41.439
1026;01.10.2023;744;0;0;0;378.171;398.068;0;31.658
1026;01.11.2023;720;0;0;0;149.657;170.296;0;11.996
1026;01.12.2023;685;59;0;0;93.02;105.008;0;6.776
1026;01.01.2024;744;0;0;0;97.538;107.486;0;5.286
1026;01.02.2024;696;0;0;0;46.096;50.814;0;2.422
1026;01.03.2024;744;0;0;0;49.15;54.203;0;2.223
1026;01.04.2024;720;0;0;0;44.3;49.316;0;1.878
1026;01.05.2024;480;24;0;0;31.648000000000003;34.909000000000006;0;1.48
1026;01.06.2024;0;0;0;0;0;0;0;0
1026;01.07.2024;0;0;384;0;0;0;1523.831;0
1026;01.08.2024;0;0;744;0;0;0;3220.837;0
1026;01.09.2024;0;0;240;480;0;0;1595.507;0
1026;01.10.2024;0;0;600;144;0;0;3779.955;0
1026;01.11.2024;0;0;696;24;0;0;3935.431;0
1026;01.12.2024;0;0;744;0;0;0;3979.067;0
1026;01.01.2025;0;0;744;0;0;0;5590.898;0
1026;01.02.2025;0;0;672;0;0;0;6333.344;0
1026;01.03.2025;0;0;744;0;0;0;6366.527;0
1026;01.04.2025;0;0;720;0;0;0;5224.755;0
1026;01.05.2025;0;0;744;0;0;0;5532.634;0
1026;01.06.2025;0;0;720;0;0;0;4485.7570000000005;0
1026;01.07.2025;0;0;672;72;0;0;3939.566;0
1026;01.08.2025;0;0;552;192;0;0;2495.1040000000003;0
1026;01.09.2025;0;0;720;0;0;0;4617.645;0
1026;01.10.2025;0;0;744;0;0;0;5566.46;0
1026;01.11.2025;0;0;720;0;0;0;5513.6320000000005;0
1026;01.12.2025;0;0;744;0;0;0;6275.992;0
1026;01.01.2026;0;0;744;0;0;0;6258.33;0
1026;01.02.2026;0;0;672;0;0;0;5747.578;0
1026;01.03.2026;0;0;744;0;0;0;2973.0280000000002;0
1026;01.04.2026;0;0;720;0;0;0;2209.331;0
1026;01.05.2026;0;0;696;48;0;0;2395.853;0
1026;01.06.2026;0;0;720;0;0;0;5958.879;0
1027;01.04.2023;120;0;0;0;379.357;506.811;0;39.718
1027;01.05.2023;743;1;0;0;2346.203;2408.305;0;266.119
1027;01.06.2023;384;336;0;0;1454.338;1504.821;0;139.52
1027;01.07.2023;577;167;0;0;1157.068;1555.812;0;116.618
1027;01.08.2023;192;552;0;0;525.307;537.936;0;32.168
1027;01.09.2023;232;488;0;0;571.655;661.107;0;29.408
1027;01.10.2023;648;96;0;0;268.51300000000003;599.6700000000001;0;22.513
1027;01.11.2023;720;0;0;0;216.673;352.919;0;17.396
1027;01.12.2023;744;0;0;0;242.405;321.287;0;17.682
1027;01.01.2024;744;0;0;0;388.351;515.784;0;21.045
1027;01.02.2024;696;0;0;0;318.649;473.861;0;16.741
1027;01.03.2024;350;82;0;0;98.207;186.987;0;4.441
1027;01.04.2024;0;0;0;0;0;0;0;0
1027;01.05.2024;0;0;0;0;0;0;0;0
1027;01.06.2024;0;0;0;0;0;0;0;0
1027;01.07.2024;0;0;0;0;0;0;0;0
1027;01.08.2024;0;0;0;0;0;0;0;0
1027;01.09.2024;0;0;0;0;0;0;0;0
1027;01.10.2024;0;0;0;0;0;0;0;0
1027;01.11.2024;0;0;0;0;0;0;0;0
1027;01.12.2024;0;0;0;0;0;0;0;0
1027;01.01.2025;0;0;0;0;0;0;0;0
1027;01.02.2025;0;0;0;0;0;0;0;0
1027;01.03.2025;0;0;0;0;0;0;0;0
1027;01.04.2025;0;0;0;0;0;0;0;0
1027;01.05.2025;0;0;0;0;0;0;0;0
1027;01.06.2025;0;0;0;0;0;0;0;0
1027;01.07.2025;0;0;0;0;0;0;0;0
1027;01.08.2025;0;0;0;0;0;0;0;0
1027;01.09.2025;0;0;0;0;0;0;0;0
1027;01.10.2025;0;0;0;0;0;0;0;0
1027;01.11.2025;0;0;0;0;0;0;0;0
1027;01.12.2025;0;0;0;0;0;0;0;0
1027;01.01.2026;0;0;0;0;0;0;0;0
1027;01.02.2026;0;0;0;0;0;0;0;0
1027;01.03.2026;0;0;0;0;0;0;0;0
1027;01.04.2026;0;0;0;0;0;0;0;0
1027;01.05.2026;0;0;0;0;0;0;0;0
1027;01.06.2026;0;0;0;0;0;0;0;0
1028;01.05.2023;192;0;0;0;623.51;700.864;0;70.721
1028;01.06.2023;384;336;0;0;1499.867;1541.172;0;143.889
1028;01.07.2023;699;45;0;0;1111.793;1160.998;0;152.37
1028;01.08.2023;192;552;0;0;430.117;446.788;0;26.339
1028;01.09.2023;215;505;0;0;489.097;496.222;0;25.161
1028;01.10.2023;744;0;0;0;1239.694;1278.441;0;103.943
1028;01.11.2023;720;0;0;0;1163.778;1204.778;0;93.438
1028;01.12.2023;408;336;0;0;706.409;780.74;0;51.53
1028;01.01.2024;744;0;0;0;1464.48;1554.556;0;79.362
1028;01.02.2024;696;0;0;0;1373.702;1409.547;0;72.169
1028;01.03.2024;744;0;0;0;1432.186;1479.563;0;64.771
1028;01.04.2024;717;3;0;0;1264.138;1320.714;0;53.577
1028;01.05.2024;744;0;0;0;1431.514;1487.861;0;66.935
1028;01.06.2024;156;564;0;0;283.595;302.821;0;24.336
1028;01.07.2024;744;0;0;0;1442.785;1489.824;0;68.46
1028;01.08.2024;744;0;0;0;1518.7530000000002;1569.3790000000004;0;71.608
1028;01.09.2024;697;23;0;0;1435.4740000000002;1474.8960000000002;0;64.853
1028;01.10.2024;743;1;0;0;1560.566;1623.934;0;60.879
1028;01.11.2024;716;4;0;0;1705.6760000000002;1807.673;0;65.844
1028;01.12.2024;743;1;0;0;1754.813;1917.361;0;57.637
1028;01.01.2025;744;0;0;0;1912.392;2034.371;0;58.336
1028;01.02.2025;672;0;0;0;1833.319;1898.171;0;43.065
1028;01.03.2025;744;0;0;0;2291.592;2343.962;0;53.418
1028;01.04.2025;720;0;0;0;2202.713;2250.357;0;53.702
1028;01.05.2025;744;0;0;0;2063.967;2463.157;0;42.149
1028;01.06.2025;720;0;0;0;1919.874;2792.723;0;58.557
1028;01.07.2025;744;0;0;0;2154.844;3218.802;0;97.887
1028;01.08.2025;744;0;0;0;2143.973;3228.929;0;103.975
1028;01.09.2025;456;264;0;0;1267.183;2302.959;0;96.594
1028;01.10.2025;48;696;0;0;119.864;234.079;0;8.604
1028;01.11.2025;24;696;0;0;60.863;109.504;0;3.104
1028;01.12.2025;72;672;0;0;175.05700000000002;352.071;0;8.797
1028;01.01.2026;744;0;0;0;1718.161;3724.965;0;38.661
1028;01.02.2026;672;0;0;0;1554.659;3381.408;0;36.448
1028;01.03.2026;744;0;0;0;1774.9260000000002;3864.2320000000004;0;42.735
1028;01.04.2026;720;0;0;0;1433.594;3754.289;0;39.358
1028;01.05.2026;743;1;0;0;1366.756;3568.254;0;32.909
1028;01.06.2026;720;0;0;0;1269.313;3169.672;0;79.967
1034;01.09.2022;0;0;0;0;0;0;0;0
1034;01.10.2022;0;0;0;0;0;0;0;0
1034;01.11.2022;0;0;0;0;0;0;0;0
1034;01.12.2022;0;0;0;0;0;0;0;0
1034;01.01.2023;0;0;0;0;0;0;0;0
1034;01.02.2023;0;0;0;0;0;0;0;0
1034;01.03.2023;0;0;0;0;0;0;0;0
1034;01.04.2023;0;0;0;0;0;0;0;0
1034;01.05.2023;0;0;0;0;0;0;0;0
1034;01.06.2023;0;0;0;0;0;0;0;0
1034;01.07.2023;0;0;0;0;0;0;0;0
1034;01.08.2023;0;0;0;0;0;0;0;0
1034;01.09.2023;0;0;0;0;0;0;0;0
1034;01.10.2023;0;0;0;0;0;0;0;0
1034;01.11.2023;0;0;0;0;0;0;0;0
1034;01.12.2023;0;0;0;0;0;0;0;0
1034;01.01.2024;0;0;0;0;0;0;0;0
1034;01.02.2024;0;0;0;0;0;0;0;0
1034;01.03.2024;0;0;0;0;0;0;0;0
1034;01.04.2024;0;0;0;0;0;0;0;0
1034;01.05.2024;0;0;0;0;0;0;0;0
1034;01.06.2024;0;0;0;0;0;0;0;0
1034;01.07.2024;0;0;0;0;0;0;0;0
1034;01.08.2024;0;0;0;0;0;0;0;0
1034;01.09.2024;0;0;0;0;0;0;0;0
1034;01.10.2024;0;0;0;0;0;0;0;0
1034;01.11.2024;0;0;0;0;0;0;0;0
1034;01.12.2024;0;0;0;0;0;0;0;0
1034;01.01.2025;0;0;0;0;0;0;0;0
1034;01.02.2025;0;0;0;0;0;0;0;0
1034;01.03.2025;0;0;0;0;0;0;0;0
1034;01.04.2025;72;0;0;0;50.401;172.758;0;1.229
1034;01.05.2025;742;2;0;0;36.54;416.136;0;0.746
1034;01.06.2025;720;0;0;0;9.359;182.508;0;0.286
1034;01.07.2025;144;600;0;0;2.007;37.41;0;0.091
1034;01.08.2025;0;0;0;0;0;0;0;0
1034;01.09.2025;0;0;0;0;0;0;0;0
1034;01.10.2025;0;0;0;0;0;0;0;0
1034;01.11.2025;0;0;0;0;0;0;0;0
1034;01.12.2025;0;0;0;0;0;0;0;0
1034;01.01.2026;0;0;0;0;0;0;0;0
1073;01.03.2025;672;0;0;0;444.666;2480.513;0;10.365
1073;01.04.2025;720;0;0;0;356.214;2481.775;0;8.685
1073;01.05.2025;744;0;0;0;346.115;2577.634;0;7.068
1073;01.06.2025;696;24;0;0;152.55200000000002;3255.809;0;4.653
1073;01.07.2025;624;120;0;0;187.277;4657.002;0;8.507
1073;01.08.2025;743;1;0;0;116.13600000000001;5286.716;0;5.633
1073;01.09.2025;720;0;0;0;110.122;5163.412;0;8.395
1073;01.10.2025;744;0;0;0;93.158;4996.377;0;6.687
1073;01.11.2025;720;0;0;0;115.68400000000001;4768.845;0;5.9
1073;01.12.2025;744;0;0;0;138.554;4731.643;0;6.963
1073;01.01.2026;743;1;0;0;172.93;4697.697;0;3.891
1073;01.02.2026;672;0;0;0;79.421;4040.146;0;1.862
1073;01.03.2026;744;0;0;0;107.52;4124.051;0;2.589
1073;01.04.2026;720;0;0;0;121.38300000000001;4074.933;0;3.332
1073;01.05.2026;744;0;0;0;118.605;4151.426;0;2.856
1073;01.06.2026;720;0;0;0;120.07100000000001;4257.991;0;7.564
1088;01.10.2021;144;0;0;0;51.616;387.573;0;0.936
1088;01.11.2021;720;0;0;0;305.134;1366.972;0;4.677
1088;01.12.2021;740;4;0;0;330.516;1074.881;0;4.739
