Скважина;Дата;Дебит жидкости, м3/сут;Дебит нефти, т/сут;Приёмистость, м3/сут;Забойное давление (ТР), атм
1026;21.04.2023;119.97;99.347157;0;74.72993258522015
1026;21.05.2023;104.68;87.570054;0;65.22730544668258
1026;21.06.2023;75.9;62.85279;0;55.31923511116108
1026;21.07.2023;58.79;46.0014113;0;46.93831316144822
1026;21.08.2023;39.04;29.360032;0;41.11622876505464
1026;21.09.2023;29.53;24.2042645;0;37.66148970281917
1026;21.10.2023;18.27;14.6662425;0;34.98142397612474
1026;21.11.2023;6.33;4.920942;0;32.656120114185875
1026;21.12.2023;4.04;3.1406959999999997;0;30.51815184127181
1026;21.01.2024;4;3.1096000000000004;0;30.32885118801506
1026;21.02.2024;4;3.1096000000000004;0;32.98126489687441
1026;21.03.2024;2;1.5548000000000002;0;33.189023337901666
1026;21.04.2024;2;1.5548000000000002;0;33.15933775594184
1026;21.05.2024;10;7.774;0;35.44471084813847
1026;21.07.2024;0;0;38.35;445.909681946535
1026;21.08.2024;0;0;101.96;445.175268420621
1026;21.09.2024;0;0;160;439.695478243437
1026;21.10.2024;0;0;168;438.2929068092501
1026;21.11.2024;0;0;142.46;438.86929755240607
1026;21.12.2024;0;0;129.8;439.12451274445704
1026;21.01.2025;0;0;119.37;439.31945626329
1026;21.02.2025;0;0;233.06;438.98493794131105
1026;21.03.2025;0;0;293.85;446.909178840737
1026;21.04.2025;0;0;173.37;450.8008195283341
1026;21.05.2025;0;0;171.04;450.85841451382703
1026;21.06.2025;0;0;122.77;451.898109455433
1026;21.07.2025;0;0;115;452.037840564493
1026;21.08.2025;0;0;41.54;450.94327724455405
1026;21.09.2025;0;0;126.45;439.69417277177905
1026;21.10.2025;0;0;128.32;443.70307424777
1026;21.11.2025;0;0;166.5;442.87875718058905
1026;21.12.2025;0;0;166.44;438.83595539361505
1026;21.01.2026;0;0;167.82;442.846980535875
1026;21.02.2026;0;0;176.21;430.508871222382
1026;21.03.2026;0;0;56.06;419.476253228426
1026;21.04.2026;0;0;59.25;435.61743306519804
1026;21.05.2026;0;0;45.72;417.54722053262606
1026;21.06.2026;0;0;150.68;436.16529397869607
1027;21.05.2023;103.88;86.900814;0;117.676028537863
1027;21.06.2023;94.92;78.603252;0;97.44310592127222
1027;21.07.2023;83.85000000000001;69.436185;0;83.40666334284863
1027;21.08.2023;63.13;52.1712633;0;85.20232540454963
1027;21.09.2023;65.87;44.689534435;0;53.7
1027;21.10.2023;46.92;4.417711545;0;30.60733667907276
1027;21.11.2023;12.11;6.9404983375;0;31.024750125373867
1027;21.12.2023;13.82;10.13875278;0;30.49349985860058
1027;21.01.2024;17.59;12.76778945;0;33.59017695112376
1027;21.02.2024;17.07;9.9346333125;0;33.0487346798042
1027;21.03.2024;14.62;8.5118371;0;37.14379404867144
1028;21.06.2023;99.42;80.649504;0;61.93203552944756
1028;21.07.2023;82.52;68.334812;0;50.99132147861739
1028;21.08.2023;61.54;51.3772844;0;103.45291016519
1028;21.09.2023;50.97;41.99290875;0;46.5
1028;21.10.2023;49.21;40.3349765;0;62.953425712337975
1028;21.11.2023;53.64;44.3739582;0;69.4
1028;21.12.2023;58.49;49.102793675;0;66.11455190186425
1028;21.01.2024;59.85;47.538855;0;66.41118456661744
1028;21.02.2024;56.96;47.6017568;0;35.36880142660183
1028;21.03.2024;57.83;47.15602775;0;35.43822387166388
1028;21.04.2024;54.63;44.54666775;0;35.62748990251416
1028;21.05.2024;57.69;41.11410537;0;65.58600372212452
1028;21.06.2024;55.96;45.394752;0;61.59210373871039
1028;21.07.2024;55.27;45.769087;0;60.86601494371542
1028;21.08.2024;57.88;47.5391592;0;57.06622507667699
1028;21.09.2024;60.95;50.42119225;0;56.060729815966745
1028;21.10.2024;62.32;50.02738;0;58.10312909514702
1028;21.11.2024;74.97;60.1821675;0;55.05514187083236
1028;21.12.2024;73.43;59.566416;0;55.095161483604414
1028;21.01.2025;73.64;57.247736;0;54.77560738849669
1028;21.02.2025;76.60000000000001;62.202647;0;54.18389465693487
1028;21.03.2025;87.93;72.9634347;0;55.520371227603995
1028;21.04.2025;87.5;72.606625;0;54.24995072713635
1028;21.05.2025;87.79;72.8472641;0;54.23141600565444
1028;21.06.2025;103.85;65.90269075;0;95.6
1028;21.07.2025;114.11;74.10103707500001;0;94
1028;21.08.2025;115.79;68.8811552;0;37.764853795799816
1028;21.09.2025;120.10000000000001;62.683931115;0;44.05918821150827
1028;21.10.2025;121.77;75.9369897;0;20.364651025790348
1028;21.11.2025;121.34;60.5965893;0;20.967770302641338
1028;21.12.2025;128.07;70.3424475;0;20.651008385840587
1028;21.01.2026;130.6;56.20813081;0;22.31005342669671
1028;21.02.2026;130.65;56.2296500025;0;22.309916523802286
1028;21.03.2026;136.59;58.786130071500004;0;22.26073041207197
1028;21.04.2026;133.677;49.362237405;0;22.62637498864924
1028;21.05.2026;111.06;40.5413424;0;26.80525530838784
1028;21.06.2026;116.298;46.1877507;0;22.21932763498707
1034;21.05.2025;9.32;1.5317653;0;73.95446327623792
1034;21.06.2025;7.59;0.23730135;0;74.35062712775094
1034;21.07.2025;5.76;0.3261024;0;75.04346386336019
1034;21.08.2025;5.76;0.3261024;0;75.04346386336019
1034;21.09.2025;5.76;0.3261024;0;75.04346386336019
1034;21.10.2025;5.76;0.3261024;0;75.04346386336019
1034;21.11.2025;5.76;0.3261024;0;75.04346386336019
1034;21.01.2026;5.76;0.3261024;0;0
1073;21.03.2025;90.91;17.13062585;0;145.479175917702
1073;21.04.2025;88.15;12.0668535;0;139.86974867177398
1073;21.05.2025;73.13;11.43204725;0;131.256292844553
1073;21.06.2025;105;4.436249999999999;0;128.990835447394
