Скважина;Ствол;Дата начала;Дата конца;Координата Т1 Х, м;Координата Т1 У, м;Координата Т3 Х, м;Координата Т3 У, м
1026;1026_0;22.03.2023;11.04.2262;452168.96;7077152.42;453460.19;7077144.9
1026;1026_1;22.03.2023;11.04.2262;452168.96;7077152.42;452824.56;7076885.29
1027;1027_0;22.04.2023;11.04.2262;452425.78;7077884.91;453308.73;7077862.17
1027;1027_1;22.04.2023;11.04.2262;452425.79;7077884.91;453099.98;7077991.06
1028;1028_0;19.05.2023;11.04.2262;452466.64;7077504.82;453774.3;7077507.46
1034;1034_0;17.04.2007;28.04.2025;452034.79;7075747.38;;
1034;1034_1;28.04.2025;11.04.2262;452391.85;7074888.26;;
1073;1073_1;04.03.2025;11.04.2262;451787.32;7079679.52;452160.24;7080315.95
1088;1088_0;07.12.2009;11.04.2262;451978.31;7079373.28;;
1091;1091_0;04.02.2010;28.02.2024;450906.81;7079572.44;;
1093;1093_0;14.04.2010;11.04.2262;452407.91;7080093.2;;
1094;1094_0;10.08.2021;11.04.2262;452664.12;7079219.73;452751.44;7078343.89
1094;1094_1;10.08.2021;11.04.2262;452664.12;7079219.73;453322.52;7078376.22
1095;1095_0;23.09.2021;11.04.2262;452951.79;7079455.69;453692.29;7079169.17
1095;1095_1;23.09.2021;11.04.2262;452951.79;7079455.69;453872.29;7078164.74
1096;1096_0;31.10.2021;11.04.2262;453919.53;7080942.49;454861.4;7080677.75
1096;1096_1;31.10.2021;11.04.2262;453919.53;7080942.49;454791.97;7081430.12
1098;1098_0;22.02.2022;11.04.2262;453690.69;7079560.54;454414.8;7078378.44
1098;1098_1;22.02.2022;11.04.2262;453690.69;7079560.54;454226.56;7079280.03
1110;1110_0;17.06.2022;11.04.2262;453291.73;7075124.79;454103.22;7075308.31
1110;1110_1;17.06.2022;11.04.2262;453291.73;7075124.79;454158.62;7075633.93
1111;1111_0;22.07.2022;11.04.2262;452984.48;7076256.64;453788.97;7076798.74
1111;1111_1;22.07.2022;11.04.2262;453033.91;7076279.05;454007.69;7076573.14
1112;1112_0;26.08.2022;11.04.2262;453187.04;7075840.99;454101.56;7075950.27
1112;1112_1;26.08.2022;11.04.2262;453187.04;7075840.99;454107;7076188.34
1113;1113_0;28.09.2022;11.04.2262;453258.52;7074784.94;454405.84;7074668.98
1113;1113_1;28.09.2022;11.04.2262;453258.51;7074784.94;454409.04;7074963.94
1114;1114_0;07.11.2022;11.04.2262;453245.1;7074333.12;454130.62;7073757.58
1114;1114_1;07.11.2022;11.04.2262;453278.15;7074320.87;454252.95;7074259.83
1115;1115_0;13.12.2022;11.04.2262;453122.88;7073949.79;454062.14;7073338.29
1115;1115_1;13.12.2022;11.04.2262;453122.88;7073949.79;453749.9;7073176.45
142R;142R_0;30.09.2002;10.05.2011;450509.07;7086728.05;;
144R;144R_0;30.06.2002;11.04.2262;452124.49;7085088.06;;
148R;148R_0;30.09.2002;11.04.2262;453617.05;7081450.04;;
151R;151R_0;30.06.2002;30.08.2008;452093.59;7079881.47;;
151R;151R_1;30.08.2008;11.04.2262;451995.27;7079856.69;;
153R;153R_0;30.06.2002;11.04.2262;450578.47;7089025.83;;
157R;157R_0;30.06.2002;11.04.2262;451086.88;7081973.22;;
159R;159R_0;30.11.2001;11.04.2262;454599.64;7084165.62;;
168R;168R_0;31.12.2012;11.04.2262;450153.4;7093474.63;;
2000;2000_0;27.04.2003;29.03.2022;452835.31;7080742.69;;
2000;2000_1;29.03.2022;11.04.2262;452766.63;7080400.8;;
2011;2011_0;14.12.2002;11.04.2262;451533.2;7080934.97;;
2012;2012_0;10.02.2003;11.04.2262;452328.83;7081560.61;452290.85;7082208.75
2013;2013_0;27.04.2003;27.07.2024;451484.45;7081800.86;;
2013;2013_1;27.07.2024;11.04.2262;454109.59;7080247.72;455061.68;7080194.9
2013;2013_2;27.07.2024;11.04.2262;454109.59;7080247.72;455100.68;7079876.44
2014;2014_0;02.11.2019;11.04.2262;454174.77;7084013.54;454724.44;7083716.29
2014;2014_1;02.11.2019;01.05.2021;454174.77;7084013.54;454867.69;7084060.7
2015;2015_0;02.01.2020;11.04.2262;454035.47;7085203.62;454026.99;7085914.73
2015;2015_1;02.01.2020;11.04.2262;454035.47;7085203.62;453635.07;7085808.73
2016;2016_0;20.02.2020;11.04.2262;454587.97;7085010.91;455126.16;7085749.37
2016;2016_1;20.02.2020;11.04.2262;454573.16;7084963.25;454637.1;7085964.25
2017;2017_0;29.04.2020;11.04.2262;453444.44;7084814.55;453322.72;7085765.12
2017;2017_1;29.04.2020;11.04.2262;453444.44;7084814.55;452862.87;7085589.59
2018;2018_0;27.05.2020;11.04.2262;455239.21;7085014.13;455993.42;7085326.78
2018;2018_1;27.05.2020;11.04.2262;455238.46;7085013.48;455686.83;7085706.93
